,Country,Mean Assistance (2011-2016),Mean CO2 (2011-2016),Mean Employment (2011-2016),Mean GDP (2011-2016),Aided,logAssist,logCO2,logEmploy,logGDP,Employment prediction
39,Eswatini,109689999.9,1145.938333,25.20000045,8557.933332999999,Aided,18.513168762475857,7.043979085181116,3.2268440123745203,9.054614006925387,2.8770956028694665
40,Ethiopia,3588656657.0,11181.295,8.511666775,1446.966667,Aided,22.00104377916926,9.321997571843676,2.1414377841591263,7.277224690429732,2.620653062614873
41,Fiji,97686667.15,1556.031667,15.04333337,10505.015,Aided,18.397275640453834,7.349894056073664,2.710934927608203,9.259608041169562,2.8856165293553984
42,Gabon,79529998.14,5199.195,10.44166676,15077.675,Aided,18.191644843545916,8.556259084893263,2.34580422105257,9.620970451956508,2.9007353291005895
43,"Gambia, The",115543333.7,484.045,15.69666656,2116.61,Aided,18.565156201112156,6.182177877601316,2.7534483687918554,7.657571031206717,2.8732732781699246
44,Georgia,554331665.0,8924.253333,11.10333331,10886.88667,Aided,20.133273738863398,9.096527942980066,2.4072453614360074,9.295314286164098,2.757978996444217
45,Ghana,1523931681.0,14926.523330000002,16.01166661,4647.078333,Aided,21.14455946446587,9.6108949987141,2.773317619654506,8.443993985624637,2.68362521967312
47,Guatemala,351940007.5,13820.315,19.62833309,7661.181667,Aided,19.67897128579834,9.533894890115448,2.976974088228357,8.943921515458484,2.7913811322863276
48,Guinea,495354995.7,2623.74,5.521666606,1842.2116670000007,Aided,20.020785226524747,7.872356059788847,1.7086797360967287,7.51872212172266,2.7662496023906797
49,Guinea-Bissau,118116667.4,266.4683333,8.788333257,1480.198333,Aided,18.58718340076098,5.585255412155478,2.1734250756285656,7.29993136656357,2.8716537502322534
50,Guyana,97424999.26,2020.518333,25.09833304,10822.83,Aided,18.39459340159346,7.611109357974024,3.22280143118331,9.289413070881755,2.885813738298847
51,Haiti,1188639994.0,2553.453333,6.968333165,2877.776667,Aided,20.896075628319984,7.845201970220677,1.9413760519835181,7.964773284366779,2.701894746490588
52,Honduras,518431666.1,9451.691667,20.69166692,4421.05,Aided,20.06631878543461,9.153949016847937,3.029731054969375,8.394132503420737,2.762901792776576
53,India,2708936707.0,2143245.382,24.26000055,5158.445,Aided,21.719822035804484,14.577831771867038,3.188828926186967,8.54839045646944,2.641329611487217
54,"Iran, Islamic Rep.",116241666.1,630753.9467,32.94499938,15344.745,Aided,18.571181910399563,13.35467112363791,3.494839485546539,9.638528349124948,2.8728302438899966
55,Iraq,1649536641.0,163475.4717,23.03999996,13122.995,Aided,21.223760261784197,12.004418237881806,3.1372318340915792,9.482121313885774,2.6778020598530885
56,Jamaica,53764998.75,7698.866667,15.37833325,8553.0,Aided,17.80013323255744,8.948828410904941,2.73295958694353,9.054037377580782,2.9295208307543255
57,Jordan,1849684977.0,24742.47167,25.2450002,9334.056667,Aided,21.338281178834198,10.116276546776758,3.2286281242332397,9.141424997521973,2.669382023372415
58,Kazakhstan,110155000.1,250428.5967,19.92666626,23180.96833,Aided,18.517399023736616,12.430929115760774,2.9920588477795187,10.051086890395679,2.8767845771192726
59,Kenya,2625383342.0,14782.9,6.055000146,2959.051667,Aided,21.68849275737554,9.601226386351389,1.8008844011173593,7.992624113214312,2.6436330655118625
61,"Korea, Dem. People’s Rep.",121678332.0,31371.18333,14.3416667,0.0,Aided,18.61689149773457,10.353645022181917,2.6631690557537233,-inf,2.8694694919610786
63,Kyrgyz Republic,561428334.6,9692.491667,21.12166659,4022.705,Aided,20.145994691940118,9.179106809807804,3.0502993662361537,8.299709840899213,2.757043701026279
64,Lao PDR,425158335.4,7076.088333,10.22833331,5527.956667,Aided,19.86797221139008,8.864476538666993,2.325161644891706,8.617573526596232,2.777485027283355
65,Lebanon,787428324.4,23169.93833,25.74666659,15006.555,Aided,20.484282907886875,10.05061095579146,3.248305165914472,9.616242384627656,2.7321713965370478
66,Lesotho,193238334.7,2406.776667,13.6333332,2722.118333,Aided,19.07943487983235,7.786043648683947,2.612517764600695,7.909165655080603,2.835461450011354
67,Liberia,754681681.4,1098.27,10.7183334,1276.665,Aided,20.441806604269374,7.001491493479968,2.3719556771385895,7.1520064880227014,2.7352944244976722
68,Libya,234031663.3,52617.17167,24.82833322,15544.71167,Aided,19.270966977415828,10.870797803054675,3.211985469598769,9.651475774234635,2.8213792431061413
69,Madagascar,533710001.6,3198.85,7.913333416,1554.013333,Aided,20.09536318124475,8.070546649197148,2.068549110959916,7.348596110684866,2.7607663324730782
70,Malawi,1053981679.0,1170.385,5.679999987,1054.735,Aided,20.775840904561566,7.06508803349255,1.7369512304443278,6.961044829523849,2.710734884924404
71,Maldives,32916666.98,1208.888333,17.84833336,15363.42333,Aided,17.309489682596382,7.09745648323905,2.881910134678799,9.63974485491603,2.9655949095872383
72,Mali,1217233348.0,2747.805,7.858333429,1923.405,Aided,20.919846372917082,7.918557690125721,2.0615745520253244,7.561852331838276,2.7001470261453786
74,Mauritania,330618331.9,2666.518333,17.85166677,4360.7,Aided,19.616475192207105,7.888528905321729,2.8820968803369253,8.38038787391495,2.795976095385584
75,Mauritius,112243333.2,4121.706667,26.96999995,18317.02833,Aided,18.536179690395223,8.324022596133158,3.294725135297727,9.815586416009673,2.8754037472894884
76,Mexico,647106679.3,486991.0467,24.73166625,17789.841669999998,Aided,20.28802172187192,13.096001017296139,3.2080844569424833,9.786382880676488,2.7466013049638605
78,Moldova,396383326.2,4988.343333,18.10166677,8558.468333,Aided,19.797892296467822,8.51485913622744,2.896004020772388,9.05467652006461,2.782637583300264
79,Mongolia,348903335.6,29747.92833,19.32166672,10376.05667,Aided,19.670305466443775,10.300514772582693,2.9612270942145416,9.247256187623616,2.7920182780320997
80,Montenegro,105501665.8,2190.423333,17.95499961,15518.31167,Aided,18.4742373003292,7.691850106869706,2.887868605957077,9.6497760036703,2.879957999887975
81,Morocco,1790128337.0,59564.91333,21.87833341,6846.39,Aided,21.30555315087704,10.994821977183298,3.085496805091489,8.831476785039845,2.671788319064402
82,Mozambique,1984794983.0,5568.338333,6.919999997000001,1156.261667,Aided,21.40878146262807,8.624851963997232,1.9344157691960522,7.052947379154106,2.664198560152477
83,Myanmar,1485036687.0,17363.24667,16.553333600000002,4061.163333,Aided,21.118705313946414,9.762110990889541,2.806587507521456,8.309224746774076,2.6855261203658345
84,Namibia,221746668.5,3467.148333,15.57166656,9871.34,Aided,19.217046155365797,8.151087729021318,2.7454530167267612,9.197390888156576,2.8253437178975105
86,Nepal,927514994.2,6902.516667,13.73166657,2389.531667,Aided,20.64801951856856,8.839641358433774,2.6197045940597543,7.778852670493697,2.7201328251504804
87,Nicaragua,480961675.0,4921.725,17.87666734,4871.838333,Aided,19.991298147140917,8.501414357793214,2.883496361992209,8.491226625957395,2.768417610563475
88,Niger,845441670.8,1848.168333,7.069999932999999,1131.795,Aided,20.55536973610528,7.521950337338967,1.9558604704318192,7.031560146957014,2.726944808221893
89,Nigeria,2275013346.0,123575.4583,11.46166658,5216.5,Aided,21.545251755705745,11.724607246847222,2.439008126542253,8.559581957908025,2.6541647176384453
90,North Macedonia,188553334.5,7945.166667,30.23666668,13063.01333,Aided,19.054891466476462,8.980319056346762,3.4090553163997086,9.477540105925451,2.8372659800582674
91,Pakistan,3044531718.0,181451.1067,22.91500028,4189.586667000001,Aided,21.83661293908969,12.108741511823498,3.131791730180158,8.340357360556167,2.6327426765271795
94,Papua New Guinea,608178334.6,6092.721667,9.994999886,3579.0366670000008,Aided,20.225978710409294,8.71485016842387,2.3020849565466603,8.18284895575406,2.7511629556504165
95,Paraguay,87733334.86,5908.76,18.41166623,11087.82333,Aided,18.28981248614854,8.684191274511345,2.9129844979392825,9.313602787861187,2.893517650852563
96,Peru,387211659.8,52226.63833,16.61500009,11272.735,Aided,19.77448202603314,10.863347956540666,2.8103059072233494,9.33014225727244,2.7843588001413444
97,Philippines,254810001.9,103098.315,15.93666681,6771.378333,Aided,19.356028734816515,11.543438326515533,2.7686225429638367,8.820459939423117,2.815125162027562
98,Rwanda,1083679993.0,857.4666667000001,7.456666629,1647.076667,Aided,20.803628486971395,6.753982305631473,2.0091084817825204,7.406757278578157,2.708691830575666
99,Samoa,99241667.42,214.5216667,24.14333344,5727.7,Aided,18.41306851854112,5.368410743523289,3.184008293957184,8.653069332967224,2.8844553737075467
100,Sao Tome and Principe,52550001.15,113.0683333,18.20666663,3469.141667000001,Aided,17.777275677171154,4.727992355412228,2.901787825363535,8.15166248412956,2.9312014097714103
101,Senegal,972360005.8,9272.01,12.91666667,2845.776667,Aided,20.69523667018978,9.134755463534969,2.5585184673893107,7.953591302977549,2.7166612310574068
102,Serbia,760036677.0,43983.83167,25.44499969,14625.985,Aided,20.44887724929074,10.691577383324223,3.2365192478576557,9.590555020259469,2.73477456235759
104,Sierra Leone,644470011.4,1098.27,5.9649999939999985,1554.381667,Aided,20.283938849237686,7.001491493479968,1.7859090545440117,7.348833103732226,2.7469014941119374
105,Solomon Islands,248143333.5,185.7933333,9.531666755,2429.813333,Aided,19.329517094837342,5.2246349446811,2.2546195979665242,7.79556971568849,2.8170744039786166
107,South Africa,1239348328.0,471059.765,23.61666679,12390.93667,Aided,20.937851536482306,13.062740254545353,3.1619526826908806,9.424720570635793,2.6988232144089297
108,South Sudan,1374561671.0,1597.346667,17.83833281,1838.628,Aided,21.041400732515022,7.376099198546426,2.88134967043066,7.516774920292265,2.6912098627994663
109,Sri Lanka,469470011.4,17918.79833,26.0583334,10868.91167,Aided,19.967114981090166,9.79360562680279,3.260337617234158,9.293661852747572,2.770195653785715
111,St. Lucia,22635000.23,408.8716667,17.14499982,13571.68,Aided,16.93500794901345,6.013401333456011,2.841706575416196,9.515740547671545,2.993128306449031
112,St. Vincent and the Grenadines,11183333.56,220.02,20.14166673,11179.66167,Aided,16.22993515298211,5.3937184513112895,3.0027906410658307,9.321851484176051,3.0449680822475624
113,Sudan,1212055003.0,16904.87,16.49999968,4360.713333,Aided,20.915583105577003,9.735357025079884,2.803360361512595,8.38039093144691,2.700460478634714
114,Suriname,32233333.43,1980.791667,24.92666658,15769.24167,Aided,17.28851167475438,7.591251875595321,3.2159381774039923,9.665816591927062,2.967137296741232
115,Syrian Arab Republic,3939930029.0,37817.77,25.56333351,0.0,Aided,22.094428800961502,10.540534376962663,3.2411590400195984,-inf,2.6137870218033434
116,Tajikistan,369225001.0,3854.018333,15.51500002,2944.4516670000007,Aided,19.726916774985025,8.25687160583897,2.7418072991894187,7.987677887578482,2.7878559878984306
117,Tanzania,2708403320.0,10880.60167,6.158333381,2265.735,Aided,21.719625117390994,9.294736819432385,1.8178061859063452,7.725654488588581,2.64134408971764
118,Thailand,67376669.58,277612.68,21.73000018,15286.51667,Aided,18.02580936729457,12.533982183805042,3.0786938025518173,9.634726455440957,2.912928217489848
119,Timor-Leste,250576667.8,415.595,11.79833333,2608.695,Aided,19.3392754907445,6.0297112283538565,2.467958278275517,7.866605375275057,2.816356927628901
120,Togo,265406669.6,2612.126667,13.72833348,1315.348333,Aided,19.396773809915874,7.867919983477788,2.6194618344086034,7.181856801549379,2.812129420921205
121,Tonga,79861666.36,114.29,30.34333356,5547.481667,Aided,18.195806525397185,4.738739077909506,3.4125768413191526,8.621099350069427,2.9004293455832437
122,Tunisia,787901662.2,28285.405,33.37499936,10255.14167,Aided,20.48488384587228,10.250101226218144,3.5078070975443834,9.235534485135583,2.732127213169589
123,Turkey,3074233358.0,340492.5633,26.79166667,23227.59333,Aided,21.84632139264933,12.738148563804561,3.2880908940140907,10.05309621858941,2.6320288721388736
124,Turkmenistan,34008333.2,67301.06332999999,36.94499969,12856.54,Aided,17.342116146667426,11.116931315359414,3.6094303118497595,9.461607910268881,2.963196081278925
126,Uganda,1657825012.0,4759.765,7.221666813,2090.52,Aided,21.2287723464732,8.467953576258841,1.9770857867868599,7.645168117840068,2.6774335513132277
127,Ukraine,1119536641.0,246843.495,25.23999977,10166.81167,Aided,20.83618072325756,12.416509791304138,3.2284300285604925,9.226883936448633,2.706298459791381
128,Uruguay,34185000.1,7376.171667,20.83499972,19384.37833,Aided,17.34729751225529,8.906010038691198,3.036634251435492,9.872222779949313,2.962815126529405
129,Uzbekistan,330261667.9,105467.8083,22.8199997,6016.48,Aided,19.615395831249792,11.566161050738069,3.1276373312875667,8.702257649680886,2.7960554543260336
130,Vanuatu,117045000.7,130.78833329999998,9.101666689,2957.583333,Aided,18.578069040181713,4.873580240090863,2.2084575493897702,7.992127772294128,2.872323874525285
131,"Venezuela, RB",43460000.99,178088.4667,20.62833341,2921.241667,Aided,17.587351555572123,12.090035709741258,3.026665539040447,7.979764033303,2.945165391842262
132,Vietnam,3636665039.0,165060.8383,22.10000038,5557.58,Aided,22.014332900552144,12.014069401893018,3.095577625718277,8.622918040696508,2.619675993187538
133,West Bank and Gaza,2300815002.0,2661.02,27.94666672,5482.028333,Aided,21.556529245810495,7.886464786920884,3.330297933813019,8.609230445218584,2.653335551399312
134,"Yemen, Rep.",1245326680.0,18875.27,14.27166637,3595.601667000001,Aided,20.942663726018207,9.845607878650677,2.658276199022938,8.187466618321341,2.69846940296131
135,Zambia,982865000.5,4122.318333,10.26000007,3449.99,Aided,20.70598233449916,8.324170986270529,2.3282528465652357,8.14612661147048,2.7158711667807247
136,Zimbabwe,792470001.2,10780.37,7.871666829,2522.828333,Aided,20.49066520962386,9.285482166694011,2.063269835302456,7.83313590550176,2.7317021441520652
