,Country,Assitance 2011,Assitance 2012,Assitance 2013,Assitance 2014,Assitance 2015,Assitance 2016,CO2 2011,CO2  2012,CO2  2013,CO2  2014,CO2  2015,CO2 2016,Employment 2011,Employment 2012,Employment 2013,Employment 2014,Employment 2015,Employment 2016,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016
36,Chile,161199997,128080001.8,80559997.56,245580001.8,54330001.83,178440002.4,79243.87,80974.69,83226.23,79100.86,83244.57,85822.47,23.37999916,23.82999992,23.87999916,23.48999977,23.28000069,23.01000023,20342.57,21507.71,22439.28,22786.66,22698.55,23437.6
37,China,-603609985.4,-180529998.8,-656549987.8,-947070007.3,-306290008.5,-791429992.7,9733538.12,10028573.94,10258007.13,10291926.88,10145004.86,9893037.95,29.5,30.29999924,30.10000038,29.89999962,29.18000031,28.79999924,10299.87,11197.6,11923.75,12549.77,12978.77,13572.62
38,Colombia,1013590027,764250000,857489990.2,1224170044,1355920044,1106500000,76926.33,80186.29,92734.76,86680.55,94109.89,97813.56,20.65999985,20.65999985,19.63999939,19.79000092,19.82999992,19.40999985,11604.1,12018.65,12727.76,13307.42,13265.8,13859.09
39,Comoros,55349998.47,101610000.6,81230003.36,74949996.95,65779998.78,53750000,135.68,143.01,176.02,154.01,168.68,201.69,17.5,17.98999977,18.52000046,19.03000069,19.06999969,19.04999924,2337.06,2511.49,2636.49,2716.83,2709.6,2863.87
40,"Congo, Dem. Rep.",5526459961,2846169922,2584010010,2400020020,2599040039,2102330078,2493.56,2405.55,3589.99,4671.76,2838.26,2020.52,8.81000042,8.960000038,9.140000343,9.340000153,9.520000458,9.590000153,668.94,669.57,753.49,849.76,905.45,963.67
41,"Congo, Rep.",261239990.2,140130004.9,150990005.5,106180000.3,88800003.05,87050003.05,2251.54,2962.94,3237.96,3157.29,3230.63,3281.97,23.07999992,22.95999908,22.85000038,22.72999954,22.68000031,22.47999954,5428.24,6335.78,6069,5888.28,4664.32,3883.58
42,Costa Rica,35549999.24,28459999.08,32819999.69,54549999.24,111300003.1,100720001.2,7374.34,7337.67,7719.04,7843.71,7513.68,8023.4,19.25,18.17000008,16.48999977,17.68000031,19.14999962,18.61000061,13387.57,14091.53,14651.15,15622.93,16586.35,18608.58
43,Cote d'Ivoire,1437709961,2908350098,1273459961,925039978,651669982.9,615789978,7245.99,9292.18,10681.97,11089.01,10960.66,9673.55,11.31999969,11.52000046,11.81999969,11.97999954,12.10000038,12.26000023,2404.04,2626.07,2828.4,3127.48,4652.89,4726.98
44,Croatia,0,0,0,0,0,0,19915.48,18045.31,17601.6,16904.87,17311.91,17487.92,27.95000076,27.90999985,27.62999916,26.97999954,26.70999908,26.96999931,20804.39,21168.85,21820.52,22060.74,23005.1,24876.31
45,Curacao,0,0,0,0,0,0,5776.26,5999.21,5214.47,5881.87,6395.25,5390.49,0,0,0,0,0,0,27224.4,26175.49,25921.16,25379.3,25090.21,24808.4
46,Cyprus,0,0,0,0,0,0,7425.68,6919.63,5947.87,6061.55,6138.56,6626.27,20.89999962,20.17000008,17.55999947,16.52000046,16.22999954,17.04999924,33313.58,31834.68,30375.11,30042.83,31722.22,35388.83
47,Czech Republic,0,0,0,0,0,0,107993.15,103350.73,102012.27,97160.83,99852.41,102217.63,38.45000076,38.11999893,37.50999832,38.04000092,38.02999878,38.06999969,29001.37,29254.73,30818.11,32502.48,33899.29,36097.71
48,Denmark,0,0,0,0,0,0,40656.03,36427.98,37253.05,33146.01,30817.47,31785.56,20.04000092,19.77000046,19.63999939,19.37000084,19.42000008,19.04999924,44403.38,44803.97,46726.85,47901.45,49045.34,51976.01
49,Djibouti,141399993.9,148460006.7,149250000,166110000.6,173389999.4,185350006.1,473.04,480.38,572.05,612.39,627.06,619.72,13.13000011,13.14999962,13.18000031,13.25,13.30000019,13.35000038,4415.02,4415.02,4103.96,4289.09,4574.47,4692.58
50,Dominica,24440000.53,25680000.31,20079999.92,16290000.92,11710000.04,8569999.69,154.01,165.02,168.68,176.02,176.02,179.68,0,0,0,0,0,0,10198.55,9945.29,10146.35,10910.3,11139.95,11949.53
51,Dominican Republic,242619995.1,260119995.1,146910003.7,166210006.7,279959991.5,176699997,21767.31,21965.33,21473.95,22145.01,24136.19,25258.3,18.17000008,18.56999969,17.09000015,17.79000092,18.37000084,19.01000023,11869.13,11900.49,12482.16,13475.02,14740.82,16109.86
52,Ecuador,181300003.1,148059997.6,150520004.3,165050003.1,318160003.7,243710006.7,36482.98,32526.29,41451.77,46152.86,43270.6,41154.74,17.95000076,17.52000046,19.07999992,19.95999908,19.65999985,18.62999916,9857.52,10311.4,11153.68,11713.17,11060.29,11034.27
