Country,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016
Denmark,44403.38,44803.97,46726.85,47901.45,49045.34,51976.01
Djibouti,4415.02,4415.02,4103.96,4289.09,4574.47,4692.58
Dominica,10198.55,9945.29,10146.35,10910.3,11139.95,11949.53
Dominican Republic,11869.13,11900.49,12482.16,13475.02,14740.82,16109.86
Ecuador,9857.52,10311.4,11153.68,11713.17,11060.29,11034.27
"Egypt, Arab Rep.",9686.05,11092.74,11221.38,10895.94,11512.4,11192.37
El Salvador,6465.81,6541.21,6877.16,7233.19,7597.69,8038.63
Equatorial Guinea,34280.25,37570.64,34766.01,33696.13,24042.5,20458.81
Eritrea,1625.51,0,0,0,0,0
Estonia,24777.47,26190.55,27642.58,29135.71,29389.26,31577.07
Eswatini,8057.54,8266.68,8708.8,8796.98,8811.69,8705.91
Ethiopia,1134.78,1213.6,1283.57,1513.7,1657.34,1878.81
Fiji,8263.06,8839.47,9536.26,11346.87,12412.42,12632.01
Finland,40916.84,40873.1,41493.14,41757.4,42497.7,44934.45
France,37440.64,37679.12,39523.85,40144.03,40850,42924.61
Gabon,15638.69,15356.19,15114.37,15370.98,14699.57,14286.25
"Gambia, The",2215.75,2199.79,2121.49,2027.03,2066.86,2068.74
Georgia,8360.3,9826.05,10611.77,11575.55,12089.17,12858.48
Germany,42541.53,43359.61,44993.89,47011.55,47609.78,50579.68
Ghana,3379.48,3781.87,5259.62,5454.14,5117.34,4890.02
Greece,26141.32,25284.46,26097.87,26838.46,26895.33,27826.15
Grenada,11115.71,11164.44,11887.58,13041.82,14152.42,15025.82
Guam,0,0,0,0,0,0
Guatemala,7025.67,7320.15,7446.59,7758.49,8194.44,8221.75
Guinea,1743.95,1795.45,1811.33,1804.54,1819.36,2078.64
Guinea-Bissau,1439.29,1355.32,1364.39,1378.23,1597.21,1746.75
Guyana,9987.44,10479.63,11023.18,10951.68,11198.32,11296.73
Haiti,2805.73,2762.44,2872.19,2897.21,2903.36,3025.73
Honduras,3928.27,4032.58,4142.24,4452.58,4823.39,5147.24
"Hong Kong SAR, China",52277.47,52234.59,53691.84,54781.65,56408.94,57221.41
Hungary,22999.83,23206.26,24498.66,25642.56,26777.47,27911.66
Iceland,40767.24,41926.34,44157.55,45714.79,48841.24,53030.8
India,4493.67,4861.15,5057.22,5233.87,5464.86,5839.9
Indonesia,9095.73,9713.87,10067.42,10278.14,10247.21,10494.56
"Iran, Islamic Rep.",18008.8,15950.1,15273.85,15235.7,13588.47,14011.55
Iraq,13495.21,15149.9,15536.06,14267.04,10391.78,9897.98
Ireland,44855.32,46256.57,47897.29,51067.98,69037.54,71928.96
Israel,30539.96,31693.92,34145.71,34212.94,35438.61,37834.44
Italy,36598.01,36486.3,36314.7,36194.87,36899.39,39926.95
Jamaica,8159.88,8187.18,8442.03,8544.23,8791.3,9193.38
Japan,35774.7,37191.39,38974.08,39179.16,40388.55,39964.28
Jordan,9402.28,9188.16,9320.74,9179.78,9464.68,9448.7
Kazakhstan,20779.45,22032.18,24504.77,24726.47,23224.12,23818.82
Kenya,2437.88,2530.35,2767.4,3021.43,3361.98,3635.27
Kiribati,1749.23,1837.99,1921.61,1916.84,2108.66,2208.17
"Korea, Dem. People’s Rep.",0,0,0,0,0,0
"Korea, Rep.",32546.75,33557.13,34244.31,35324.5,37902.4,39575.45
Kosovo,8222.23,8477.47,8805.38,9043.18,9575.75,10062.11
Kuwait,78178.07,82680.38,78058.51,70082.42,47230.62,44685.35
Kyrgyz Republic,3297.37,3618.15,4042.89,4281.82,4214.83,4681.17
Lao PDR,4150.82,4841.64,5289.48,5873.76,6168.48,6843.56
Latvia,19879.2,21407.52,22812.92,23803.81,24961.35,26710.1
Lebanon,14668.51,14816.88,14972.72,15026.34,15067.77,15487.11
Lesotho,2328.24,2354.11,2621.94,2871.68,3093.71,3063.03
Liberia,1093.54,1174.05,1339.3,1381.94,1292.1,1379.06
Libya,11482.1,24285.3,19869.11,14303.02,12220.02,11108.72
Liechtenstein,0,0,0,0,0,0
Lithuania,22884.82,24703.69,26721.58,28184.47,28834.43,30925.17
Luxembourg,92005.02,91622.18,95590.54,101297.58,103722.99,110660.87
"Macao SAR, China",120358.93,133521.44,153609.84,154095.7,117110.19,115698.06
Madagascar,1548.33,1530.93,1535.49,1555.82,1546.84,1606.67
Malawi,1062.95,1034.02,1108.51,1078.98,1018.94,1025.01
Malaysia,21704.75,22985.83,23478.03,24607.71,24801.89,25546
Maldives,13542.93,13690.53,14774.15,15993.17,16768.79,17410.97
Mali,1826.65,1763.84,1812.97,1915.3,2032.66,2189.01
Malta,28973.2,30243.99,32295.88,34344.11,37455.07,39695.4
Marshall Islands,3285.58,3258.5,3425.6,3441.61,3516.79,3581.18
Mauritania,4225.57,4262.06,4481.26,4295.05,4200.16,4700.1
Mauritius,16653.24,16963.51,17866.31,18488.05,19229.84,20701.22
Mexico,16520.26,17162.93,17373.9,18056.79,18301.5,19323.67
"Micronesia, Fed. Sts.",3422.29,3388.22,3276.3,3213.85,3352.2,3376.46
Moldova,6913.6,7363.16,8381.67,8827.05,9254.85,10610.48
Mongolia,8912.86,10227.53,10549.86,11056.31,10767.13,10742.65
Montenegro,14472.43,13863.97,14870.17,15371.18,16332.79,18199.33
Morocco,6712.33,6702.42,6916.02,6609.61,7024.96,7113
Mozambique,1023.07,1035.52,1084.99,1139.05,1291.27,1363.67
Myanmar,3469.14,3727.14,4016.32,4245.81,4416.55,4492.02
Namibia,8830.22,9340.99,9709.59,10400.77,10574.15,10372.32
Nauru,6670.34,7407.29,9351.51,11004.91,10956.4,10960.85
Nepal,2001.63,2176.15,2349.63,2593.44,2633.4,2582.94
Netherlands,46599.02,47272.1,49241.52,49233.22,50288.59,52288.42
New Zealand,32743.9,32996.35,36231.1,37276.94,37465.39,39980.84
Nicaragua,4263.15,4427.97,4610.29,4941.7,5293.87,5694.05
Niger,1068.25,1158.67,1127.35,1142.52,1145.51,1148.47
Nigeria,4922.7,4982.95,5225.17,5507.17,5426.33,5234.68
North Macedonia,11611.23,11839.71,12653.55,13368.22,13827.46,15077.91
Northern Mariana Islands,0,0,0,0,0,0
Norway,62076.74,65354.78,66961.25,65892.69,60368.92,58939.91
Oman,43425.59,44508.92,42078.87,38624.6,31113.32,28925.86
Pakistan,3993.55,4018.7,4103.58,4238.59,4373.01,4410.09
Palau,14810.67,15438.54,15206.66,16444.06,17828.51,17937.14
Panama,16923.92,18679.55,20809.91,22897.4,25319.23,27828.52
Papua New Guinea,3069.76,3206.2,3318.8,3761.52,3970.26,4147.68
Paraguay,10490.94,10022.13,11086.75,11425.66,11471.49,12029.97
Peru,10476.79,10767.68,11295.96,11510.28,11572.32,12013.38
Philippines,5865.34,6296.83,6614.68,6960.9,7186.77,7703.75
Poland,22827.7,23745.7,24567.51,25475.5,26862.05,28322.11
Portugal,26769.51,26438.02,27936.04,28742.44,29660.9,31607.75
Puerto Rico,31824.15,32582.62,33172.67,33682.85,34016.02,34346.87
Qatar,139358.35,141634.96,138230.06,129068.79,92968.16,83102.51
Romania,17896.28,18869.62,19781.98,20657.71,21605.84,24271.37
Russian Federation,22798.67,24303.47,26073.87,25761.65,24085.32,24125.4
Rwanda,1451.39,1489.61,1544.05,1707.67,1805.9,1883.84
Samoa,5655.14,5480.61,5505.99,5568.32,5827.51,6328.63
San Marino,57943.45,54447.09,53466.74,55420.29,55611.28,57453.85
Sao Tome and Principe,2997.15,2954.58,3318.89,3817.19,3837.63,3889.41
Saudi Arabia,56132.96,57364.43,55907.39,55725.4,48611.15,45485.66
Senegal,2682.69,2764.78,2749.22,2830.7,2971.34,3075.93
Serbia,13746.9,13933.92,14629.03,14659.61,14928.41,15858.04
Seychelles,21922.74,21565.04,22369.39,23889.78,24067.19,25681.31
Sierra Leone,1203.21,1405.57,1746.55,1787.65,1586.69,1596.62
Singapore,80052.39,82064.96,83001.79,84423.19,86974.75,89386.08
Sint Maarten (Dutch part),37233.97,32878.44,32478.3,38858.58,38211.83,38230.03
Slovak Republic,26082.76,26967.13,28002.5,28996.87,29919.66,29659.37
Slovenia,28931.38,29042.82,29973.7,30870.02,31628.25,33936.04
Solomon Islands,2324.08,2349.62,2451,2454.93,2448.72,2550.53
Somalia,0,0,0,0,0,0
South Africa,12172.31,12057.27,12450.5,12520.71,12552.34,12592.49
South Sudan,2844.52,1519.14,2099.24,1495.51,1234.73,..
Spain,31867.97,31720.12,32434,33525.74,34903.13,37286.21
Sri Lanka,9007.66,10315.18,10852.06,11256.86,11557.49,12224.22
St. Kitts and Nevis,22770.51,21489.26,22153.43,23950.14,23921.52,24925.36
St. Lucia,13256.47,13080.36,13489.09,13761.1,13551.72,14291.34
St. Martin (French part),0,0,0,0,0,0
St. Vincent and the Grenadines,10302.42,10457.16,10909.47,11310.13,11641.84,12456.95
Sudan,3673.49,4102.81,4189.45,4734.83,5047.93,4415.77
Suriname,14475.07,15785.12,16815.11,17261.08,16072.42,14206.65
Sweden,44608.58,45432.43,46312.39,47184.67,49103.13,50430.25
Switzerland,56183.83,57849.58,60108.52,61902.16,63921.8,65726.82
Syrian Arab Republic,0,0,0,0,0,0
Tajikistan,2496.58,2750.36,3027.82,3303.1,2991.65,3097.2
Tanzania,2228.71,2099.45,2194.92,2243.63,2348.44,2479.26
Thailand,13519.13,14870.98,15407.67,15480.21,15822.35,16618.76
Timor-Leste,2084.59,2320.07,2483.17,2721.05,2912.72,3130.57
Togo,1210.14,1227.16,1275.33,1328.38,1397.33,1453.75
Tonga,5048.08,5228.9,5388.1,5639.56,5779.2,6201.05
Trinidad and Tobago,30888.03,30063.26,30059.89,29698.46,27510.41,26270.09
Tunisia,10067.91,10217.13,10231.72,10446.05,10208.74,10359.3
Turkey,19798.95,20771.95,22437.8,24089.41,25753.39,26514.06
Turkmenistan,11294.95,12057.2,12739.18,13490.99,13690.6,13866.32
Turks and Caicos Islands,21231.93,19374.65,20120.69,22031.21,24097.51,26352.45
Tuvalu,3180.1,3086.01,3248.19,3317.73,3616.92,3723
Uganda,2249.73,2005.21,2005.59,2079.41,2119.6,2083.58
Ukraine,8909.66,9343.33,10691.76,10743.59,10164.33,11148.2
United Arab Emirates,67686.39,69102.49,70374.22,73619.1,64901.85,63968.85
United Kingdom,37161.55,38311.9,39971,41265.94,42506.72,44166.98
United States,49886.82,51610.61,53117.67,55064.74,56839.38,57951.58
Uruguay,18002.85,18192.34,19130.04,20093.65,20217.58,20669.81
Uzbekistan,5489.08,5712.82,5942.4,6158.5,6343.15,6452.93
Vanuatu,2905.9,2930.91,2956.52,2995.92,2951.07,3005.18
"Venezuela, RB",17527.45,0,0,0,0,0
Vietnam,4523.24,5042.45,5358.89,5745.16,6102.64,6573.1
Virgin Islands (U.S.),0,0,0,0,0,0
West Bank and Gaza,4494.73,5255.83,5371.69,5510.13,5954.4,6305.39
"Yemen, Rep.",3607.09,3491.2,3688.52,3595.6,3595.6,3595.6
Zambia,3323.94,3422.63,3578.86,3539.45,3430.4,3404.66
Zimbabwe,2101.83,2375.93,2560.78,2612.46,2679.51,2806.46
