Country,2011,2012,2013,2014,2015,2016
Samoa,201.69,198.02,198.02,209.02,234.69,245.69
Sao Tome and Principe,102.68,113.68,113.68,113.68,113.68,121.01
Saudi Arabia,499878.11,564842.68,541047.52,601046.97,647111.82,563449.22
Senegal,8368.09,7913.39,8434.1,9376.52,10637.97,10901.99
Serbia,49009.46,43794.98,44605.39,37352.06,43919.66,45221.44
Seychelles,326.36,421.71,330.03,487.71,491.38,605.06
Sierra Leone,898.42,1030.43,1191.78,1309.12,1067.1,1092.77
Singapore,46761.58,49992.21,56112.43,56644.15,61451.59,37535.41
Sint Maarten (Dutch part),715.07,696.73,715.07,733.4,715.07,715.07
Slovak Republic,34524.81,32804.98,33091.01,30678.12,31283.18,32423.61
Slovenia,15159.38,14675.33,13890.6,12482.47,12530.14,12632.82
Solomon Islands,183.35,183.35,194.35,194.35,190.68,168.68
Somalia,612.39,608.72,630.72,630.72,630.72,645.39
South Africa,477370.06,464674.91,459222.08,484495.04,463952.51,476643.99
South Sudan,1597.35,1331.12,1448.47,1536.47,1943.51,1727.16
Spain,270547.59,264779.4,237034.88,233976.6,250496.44,244002.18
Sri Lanka,15137.38,16061.46,14913.69,17924.3,20113.5,23362.46
St. Kitts and Nevis,231.02,220.02,223.69,231.02,234.69,238.36
St. Lucia,407.04,407.04,407.04,407.04,410.7,414.37
St. Vincent and the Grenadines,198.02,253.02,209.02,220.02,220.02,220.02
Sudan,15658.09,14642.33,15474.74,15837.77,19816.47,19999.82
Suriname,1804.16,2266.21,2108.53,2244.2,1723.49,1738.16
Sweden,51734.04,47047.61,44847.41,43483.29,38180.8,43252.27
Switzerland,37183.38,37854.44,40432.34,35679.91,35672.58,34477.13
Syrian Arab Republic,56908.17,44730.07,36438.98,30703.79,29295.66,28829.95
Tajikistan,2346.88,2929.93,2911.6,4620.42,5005.46,5309.82
Tanzania,8093.07,9545.2,11177.02,11562.05,12933.51,11972.76
Thailand,256264.63,273088.82,287217.78,280976.54,284364.85,283763.46
Timor-Leste,245.69,293.36,443.71,513.38,502.38,495.05
Togo,2478.89,2409.22,2559.57,2588.9,2636.57,2999.61
Tonga,102.68,106.34,113.68,113.68,121.01,128.35
Trinidad and Tobago,46933.93,45419.46,46537.9,46266.54,46255.54,43868.32
Tunisia,26021.03,27003.79,27667.52,28829.95,30252.75,29937.39
Turkey,321122.86,327437.43,325424.25,345908.11,350337.85,372724.88
Turkmenistan,62467.35,64872.9,66735.73,68426.22,70674.09,70630.09
Turks and Caicos Islands,183.35,183.35,187.02,198.02,205.35,216.35
Tuvalu,7.33,11,11,11,11,11
Uganda,4264.72,4088.71,4407.73,4774.43,5342.82,5680.18
Ukraine,286392.7,295791.22,271875.05,228468.77,196283.51,202249.72
United Arab Emirates,171626.6,219792.65,220713.06,226143.89,194765.37,206323.76
United Kingdom,447440.01,468261.23,455940.11,419743.16,405038.49,379024.79
United States,5270047.39,5081999.96,5170359.99,5225412.66,5126913.37,5006302.08
Uruguay,7763.04,8694.46,7587.02,6747.28,6699.61,6765.62
Uzbekistan,113684.33,115814.86,103354.4,105213.56,102929.02,91810.68
Vanuatu,132.01,113.68,106.34,154.01,132.01,146.68
"Venezuela, RB",171362.58,192040.79,183944.05,185113.83,171894.29,164175.26
Vietnam,152169.5,142631.63,147230.05,167336.21,188329.79,192667.85
West Bank and Gaza,2247.87,2200.2,2438.56,2838.26,3006.94,3234.29
"Yemen, Rep.",20612.21,18698.03,25492.98,24667.91,13171.86,10608.63
Zambia,2922.6,3678,3956.69,4503.08,4532.41,5141.13
Zimbabwe,9622.21,7873.05,11771.07,12115.77,12317.45,10982.67
